id,name,code,description,status,established_at,created_at
4,PRINCIPALE,CLUB04,PRINCIPALE,t,2021-08-29,2021-08-29 04:21:56.651072+05:30
5,VICE_PRINCIPALE,CLUB05,VICE_PRINCIPALE,t,2021-08-29,2021-08-29 04:23:21.836781+05:30
6,ADMINISTRATOR,CLUB06,ADMINISTRATOR,t,2021-08-29,2021-08-29 04:24:08.849613+05:30
7,DIRECTOR,CLUB07,DIRECTOR,t,2021-08-29,2021-08-29 04:27:04.171014+05:30
8,LIBRARY,CLUB08,LIBRARY,t,2021-08-29,2021-08-29 04:27:50.252705+05:30
9,OFFICE,CLUB09,LIBRARY,t,2021-08-29,2021-08-29 04:29:54.369707+05:30
10,BZONE,CLUB10,BZONE,t,2021-08-29,2021-08-29 04:31:09.229688+05:30
11,ALUMNI,CLUB11,ALUMNI,t,2021-08-29,2021-08-29 04:31:51.821851+05:30
12,GENERAL,CLUB12,GENERAL,t,2021-08-29,2021-08-29 04:33:36.16508+05:30
13,WOMENS,CLUB13,WOMENS,t,2021-08-29,2021-08-29 04:39:34.340689+05:30
14,MSW,CLUB14,MSW,t,2021-08-29,2021-08-29 04:40:16.0983+05:30
15,NSS,CLUB15,NSS,t,2021-08-29,2021-08-29 04:43:36.199331+05:30
16,NCC,CLUB16,NCC,t,2021-08-29,2021-08-29 04:44:47.326574+05:30
17,ETHICS,CLUB17,ETHICS,t,2021-08-29,2021-08-29 04:45:30.559715+05:30
18,RESEARCH,CLUB18,RESEARCH,t,2021-10-11,2021-10-11 15:00:20.85166+05:30
19,CURRIER_GUIDENCE,CLUB19,CURRIER_GUIDENCE,t,2021-10-11,2021-10-11 15:00:54.818832+05:30
20,CELL,CLUB20,CELL,t,2021-10-11,2021-10-11 15:02:48.587651+05:30
21,PLACEMENT,CLUB21,PLACEMENT,t,2021-10-11,2021-10-11 15:03:08.134294+05:30
22,STUDENT_ADVISOR,CLUB22,STUDENT_ADVISOR,t,2021-10-11,2021-10-11 15:03:38.908097+05:30
23,SEXUAL_GRIVENCE,CLUB23,SEXUAL_GRIVENCE,t,2021-10-11,2021-10-11 15:04:10.201255+05:30
24,COUNSELLING_CELL,CLUB24,COUNSELLING_CELL,t,2021-10-11,2021-10-11 15:05:14.471743+05:30
25,FORUMS,CLUB25,FORUMS,t,2021-10-11,2021-10-11 15:16:48.268884+05:30
2,SOFTWARE,CLUB02,SOFTWARE,t,2021-08-29,2021-08-29 02:44:55.694899+05:30
1,MINUTES_BOOK,CLUB01,Minutes book,t,2021-08-29,2021-08-29 02:43:59.668668+05:30
3,COE,CLUB03,COE,t,2021-08-29,2021-08-29 02:45:53.36033+05:30
