id,name,code,description,status,established_at,approved_on,created_at,department_id
12,BA Functional English SF,BAFEN,BA Functional English SF,t,2021-08-13,2021-08-13,2021-08-13 10:50:02.80108+05:30,9
15,B.Com (Professional) SF,BCOMP,B.Com (Professional) SF,t,2021-08-13,2021-08-13,2021-08-13 10:51:12.629083+05:30,2
19,BBA SF,BABBA,BBA SF,t,2021-08-13,2021-08-13,2021-08-13 10:52:57.939302+05:30,2
20,BBA Honours SF,BHBBA,BBA Honours SF,t,2021-08-13,2021-08-13,2021-08-13 10:53:15.947886+05:30,2
33,M.Sc Computer Science SF,MSCSC,M.Sc Computer Science SF,t,2021-08-13,2021-08-13,2021-08-13 11:03:42.460437+05:30,6
34,Common Program,GC01,General Program for Languages,t,2021-10-12,2021-10-12,2021-10-12 08:27:50.449504+05:30,18
35,Complimentory Cource,GC02,Complimentory Cource,t,2021-10-12,2021-10-12,2021-10-12 08:28:14.689827+05:30,19
1,BA English,BAENG,BA English,t,2021-08-13,2021-08-13,2021-08-13 10:40:45.629575+05:30,8
2,BA Economics,BAECO,BA Economics,t,2021-08-13,2021-08-13,2021-08-13 10:41:09.419684+05:30,7
3,B.Sc Mathematics,BSMAT,B.Sc Mathematics,t,2021-08-13,2021-08-13,2021-08-13 10:41:30.770028+05:30,11
4,B.Sc Physics,BSPHY,B.Sc Physics,t,2021-08-13,2021-08-13,2021-08-13 10:41:57.385179+05:30,13
5,B.Sc Chemistry,BSCHE,B.Sc Chemistry,t,2021-08-13,2021-08-13,2021-08-13 10:42:26.144366+05:30,3
6,B.Sc Botany,BSBOT,B.Sc Botany,t,2021-08-13,2021-08-13,2021-08-13 10:42:48.954839+05:30,1
7,B.Sc Zoology,BSZOO,B.Sc Zoology,t,2021-08-13,2021-08-13,2021-08-13 10:43:09.646745+05:30,17
8,B.Sc Psychology,BSPSY,B.Sc Psychology,t,2021-08-13,2021-08-13,2021-08-13 10:43:42.758635+05:30,14
9,B.Com (Finance),BCOMF,B.Com (Finance),t,2021-08-13,2021-08-13,2021-08-13 10:44:14.449854+05:30,4
10,B.Sc Mathematical Science,,B.Sc Mathematical Science,t,2021-08-13,2021-08-13,2021-08-13 10:46:01.825215+05:30,11
11,BA English SF,,BA English SF,t,2021-08-13,2021-08-13,2021-08-13 10:49:38.429004+05:30,9
13,BA Mass Communication SF,BAMSJ,BA Mass Communication SF,t,2021-08-13,2021-08-13,2021-08-13 10:50:27.359899+05:30,12
14,B.Com (Finance) SF,,B.Com (Finance) SF,t,2021-08-13,2021-08-13,2021-08-13 10:50:49.704249+05:30,5
16,BCA SF,BSBCA,BCA SF,t,2021-08-13,2021-08-13,2021-08-13 10:51:37.404454+05:30,6
17,B.Sc Computer Science SF,BSCCS,B.Sc Computer Science SF,t,2021-08-13,2021-08-13,2021-08-13 10:52:18.933995+05:30,6
18,B.Com (CA) SF,BCOMC,B.Com (CA) SF,t,2021-08-13,2021-08-13,2021-08-13 10:52:39.43511+05:30,5
21,MA Economics,MAECO,MA Economics,t,2021-08-13,2021-08-13,2021-08-13 10:53:44.509191+05:30,7
22,MA English,MAENG,MA English,t,2021-08-13,2021-08-13,2021-08-13 10:54:02.795022+05:30,8
23,MA Malayalam,MAMMJ,MA Malayalam,t,2021-08-13,2021-08-13,2021-08-13 10:54:30.992583+05:30,10
24,M.Sc Mathematics,MSMAT,M.Sc Mathematics,t,2021-08-13,2021-08-13,2021-08-13 10:54:57.275952+05:30,11
25,M.Sc Physics,MSPHY,M.Sc Physics,t,2021-08-13,2021-08-13,2021-08-13 10:55:18.706641+05:30,13
26,M.Sc Chemistry,MSCHE,M.Sc Chemistry,t,2021-08-13,2021-08-13,2021-08-13 10:55:47.238351+05:30,3
27,M.Sc Botany,MSBOT,M.Sc Botany,t,2021-08-13,2021-08-13,2021-08-13 10:56:16.582859+05:30,1
28,M.Sc Zoology,MSZOO,M.Sc Zoology,t,2021-08-13,2021-08-13,2021-08-13 10:56:54.781399+05:30,17
29,M.Com,MCOMF,M.Com,t,2021-08-13,2021-08-13,2021-08-13 10:57:21.306676+05:30,4
30,M.Sc Psychology,MSPSY,M.Sc Psychology,t,2021-08-13,2021-08-13,2021-08-13 10:57:45.970206+05:30,14
31,M.Sc Statistics SF,MSSTA,M.Sc Statistics SF,t,2021-08-13,2021-08-13,2021-08-13 11:02:26.114579+05:30,16
32,MSW - I SF,MAMSW,MSW - I SF,t,2021-08-13,2021-08-13,2021-08-13 11:03:12.570229+05:30,15
